id,full_name,pdes,name,diameter,rot_per,BV,UB,IR,spec_B,spec_T,a
a0003402,"  3402 Wisdom (1981 PB)",3402,Wisdom,,4.9951,,,,,,2.131603972141741
a0003416,"  3416 Dorrit (1931 VP)",3416,Dorrit,,2.574,,,,Sa,,1.91764226026757
a0003443,"  3443 Leetsungdao (1979 SB1)",3443,Leetsungdao,,3.439,,,,T,,2.392486082489068
a0003496,"  3496 Arieso (1977 RC)",3496,Arieso,,2.862,,,,,,2.713508214872628
a0003581,"  3581 Alvarez (1985 HC)",3581,Alvarez,,33.42,,,,B,,2.77573939316169
a0003635,"  3635 Kreutz (1981 WO1)",3635,Kreutz,,280.,,,,S,,1.794729502938869
a0003674,"  3674 Erbisbuhl (1963 RH)",3674,Erbisbuhl,9.068,11.28,,,,Sk,,2.359287455759179
a0003737,"  3737 Beckman (1983 PA)",3737,Beckman,6.968,3.124,.839,.406,,S,,2.405731813627314
a0003800,"  3800 Karayusuf (1984 AB)",3800,Karayusuf,1.624,2.2319,,,,S,,1.5778976950599
a0003833,"  3833 Calingasta (1971 SC)",3833,Calingasta,,199.,,,,Cb,,2.194876440402286
a0003854,"  3854 George (1983 EA)",3854,George,3.023,3.3398,,,,,,1.892348717618785
a0003858,"  3858 Dorchester (1986 TG)",3858,Dorchester,,,,,,Sa,,2.189479257154282
a0003873,"  3873 Roddy (1984 WB)",3873,Roddy,5.021,2.4782,,,,S,,1.892018908836718
a0003920,"  3920 Aubignan (1948 WF)",3920,Aubignan,,4.4762,,,,Sa,,2.254537361650555
a0004142,"  4142 Dersu-Uzala (1981 KE)",4142,Dersu-Uzala,,140.,,,,A,,1.911340902232241
a0004205,"  4205 David Hughes (1985 YP)",4205,"David Hughes",,24.,,,,Xe,,1.726467185346683
a0004276,"  4276 Clifford (1981 XA)",4276,Clifford,4.441,,,,,Cb,,2.009533510108435
a0004435,"  4435 Holt (1983 AG2)",4435,Holt,,2.8670,,,,S,,2.317670683105657
a0004451,"  4451 Grieve (1988 JJ)",4451,Grieve,,6.864,,,,S,,2.604917228089585
a0004558,"  4558 Janesick (1988 NF)",4558,Janesick,,100.,,,,S,,2.197733175105253
a0004587,"  4587 Rees (3239 T-2)",4587,Rees,,7.879,,,,,,2.658699638500561
a0004775,"  4775 Hansen (1927 TC)",4775,Hansen,,3.1185,,,,,,2.393732194552422
a0004910,"  4910 Kawasato (1953 PR)",4910,Kawasato,4.383,4.662,,,,S,,2.441483211710647
a0004995,"  4995 Griffin (1984 QR)",4995,Griffin,,26.37,,,,S,,2.342356769807132
a0005038,"  5038 Overbeek (1948 KF)",5038,Overbeek,,4.038,,,,S,,2.311175918175763
a0005066,"  5066 Garradd (1990 MA)",5066,Garradd,,,,,,,,1.9363017617706
a0005230,"  5230 Asahina (1988 EF)",5230,Asahina,5.681,89.3,,,,S,,2.40052687181463
a0005246,"  5246 Migliorini (1979 OB)",5246,Migliorini,,,,,,,,2.224212860733349
a0005253,"  5253 Fredclifford (1985 XB)",5253,Fredclifford,2.449,3.053,,,,S,,1.973991341712563
